Category,Access_No,Title,Authors,Asset_Code,Department,Subject,Edition,Date_Year,Call_No,Publisher,Place,ISBN,Price,Bill_Date,Vendor,Pages
Books,290,Oxford Illustrated Encyclopedia Of The Arts,"Norwich, John Julius.",RVUN21LB0290,School of Design and Innovations,Encyclopedia,,,032 NOR,Oxford University Press,,978-0198691372,2605.98,10/2/22 0:00,Page - 3,502
Books,240,Python For Data Analysis,"McKinney, William .",RVUN21LB0240,School of Business,Computer programming,2nd Ed,2017,05.133 MCK,Shroff OReilly,Bangalore,978-9352136414,1450,10/28/2021 0:00,Book Paradise,522
Books,241,Python For Data Analysis,"McKinney, William .",RVUN21LB0241,School of Business,Computer programming,2nd Ed,2017,05.133 MCK,Shroff OReilly,Bangalore,978-9352136414,1450,10/28/2021 0:00,Book Paradise,522
Books,895,Documentary Film In India: An Anthropological History,"Battaglia, Giulia",RVUN22LB0299,School of Liberal Arts and Sciences,Film studies,,,070.18 BAT,Routledge,,9.78037E+12,4777,03/17/2022 0:00,Amazon,248
Books,896,Documentary Film In India: An Anthropological History,"Battaglia, Giulia",RVUN22LB0300,School of Liberal Arts and Sciences,Film studies,,,070.18 BAT,Routledge,,9.78037E+12,4777,03/17/2022 0:00,Amazon,248
Books,1016,Making Documentary Films And Reality Videos,"Hampe, Barry",RVUN22LB0420,School of Liberal Arts and Sciences,Documentary film,,1997,070.18 HAR,henry holt and company,,9.78081E+12,1462,03/17/2022 0:00,Amazon,342
Books,1017,Making Documentary Films And Reality Videos,"Hampe, Barry",RVUN22LB0421,School of Liberal Arts and Sciences,Documentary film,,1997,070.18 HAR,henry holt and company,,9.78081E+12,1462,03/17/2022 0:00,Amazon,368
Books,901,Making Documentary Films And Reality Videos,"Hampe, Barry",RVUN22LB0305,School of Liberal Arts and Sciences,Film studies,,,070.18 HAR,Henry holt and company,,9.78081E+12,1382,03/17/2022 0:00,Amazon,342
Books,585,Fooled By Randomness,"Taleb, Nassim Nicholas,",RVUN21LB0705,Other,Other,,2007,123.3  TAL,Penguin,,978-0141031484,0,,,
Books,732,The Secret,"Byrne, Rhonda.",RVUN22LB0136,School of Liberal Arts and Sciences,Self help,1,2021,131 BYR,Simon,,978-1582701707,599,04/18/2022 0:00,Sapna book house,198
Books,762,Psychic Perception,Joseph murphy,RVUN22LB0166,School of Liberal Arts and Sciences,Spirituality,1,2017,131.32 JOS,Manjul publishing house pvt ltd,,978-8183224871,299,04/18/2022 0:00,Sapna book house,220
Books,747,Pilgrimage,"Coelho, Paulo.",RVUN22LB0151,School of Liberal Arts and Sciences,Fiction,1,2020,133.43 COE,Harper,,978-8172235390,350,04/18/2022 0:00,Sapna book house,226
Books,122,Psychology,"Baron, Robert A.",RVUN21LB0122,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,150 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,131,Psychology,"Baron, Robert A.",RVUN21LB0131,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,150 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,602,The Psychology Book,Dk,RVUN22LB0006,School of Liberal Arts and Sciences,Psychology,1,2020,150 DK,D.K.Publication,,9.78141E+12,2499,04/17/2022 0:00,SK Publisher and Distributors,352
Books,621,Health Psychology Theory Practice & Research,"Hariharan, Meena.",RVUN22LB0025,School of Liberal Arts and Sciences,Psychology,1,2020,150 HAR,Sage,,9.78935E+12,650,03/17/2023 0:00,SK Publisher and Distributors,512
Books,834,Abnormal Psychology,"James, Butcher N.",RVUN22LB0238,School of Liberal Arts and Sciences,Psychology,16th ed,2018,150 JAM,Pearson,,978-9332579408,859,02/25/2022 0:00,Sri book world,733
Books,604,Physiological Psychology,"Khosla,  Meetu.",RVUN22LB0008,School of Liberal Arts and Sciences,Psychology,1,2017,150 KHO,Sage,,9.78939E+12,595,04/17/2022 0:00,SK Publisher and Distributors,429
Books,619,Sports Psychology,"Mangal, S K",RVUN22LB0023,School of Liberal Arts and Sciences,Psychology,1,2021,150 MAN,Sage,,9.78935E+12,775,03/17/2022 0:00,SK Publisher and Distributors,602
Books,609,Abnormal Psychology,"Mangal, S K",RVUN22LB0013,School of Liberal Arts and Sciences,Psychology,2nd Ed,2020,150 MAN,Sterling,,9.78939E+12,325,04/17/2022 0:00,SK Publisher and Distributors,
Books,612,General Psychology,"Mangal, S K",RVUN22LB0016,School of Liberal Arts and Sciences,Psychology,1,2020,150 MAN,Sterling,,9.78939E+12,350,04/17/2022 0:00,SK Publisher and Distributions,432
Books,614,An Introduction To Psychology,"Mangal, S K",RVUN22LB0018,School of Liberal Arts and Sciences,Psychology,1,2009,150 MAN,Sterling,,9.78812E+12,160,04/17/2023 0:00,SK Publisher and Distribution,221
Books,620,Abnormal Psychology,"Ray, William J.",RVUN22LB0024,School of Liberal Arts and Sciences,Psychology,1,2018,150 RAY,Sage,,9.78935E+12,695,03/17/2022 0:00,SK Publisher and Distributors,764
Books,132,Psychology,"Saundra,  Ciccarelli K.",RVUN21LB0132,School of Liberal Arts and Sciences,Psychology,5th Ed,2017,150 SAU,Pearson,Noida,978-9352861798,729,10/25/2021 0:00,Book Paradise,630
Books,369,Critical Thinking In Psychology,"Sternberg, Robert J.",RVUN21LB0369,School of Design and Innovations,Psychology,,2020,150.1 STE,Cambridge University Press,,978-1108739528,2926.83,01/17/2022 0:00,Page - 3,390
Books,605,Applied Psychometry,"Chadha,  N. K.",RVUN22LB0009,School of Liberal Arts and Sciences,Psychology,1,2009,150.15195 CHA,Sage,,9.78813E+12,600,04/17/2022 0:00,SK Publisher and Distributors,362
Books,735,Mans Search For Meaning,"Frankl, Viktor E.",RVUN22LB0139,School of Liberal Arts and Sciences,Non fiction,1,2005,150.195 FRA,Rider books,,978-1846041242,399,04/18/2022 0:00,Sapna book house,154
Books,790,Mans Search For Meaning,"Frankl, Viktor E.",RVUN22LB0194,School of Liberal Arts and Sciences,Non fiction,1,2005,150.195 FRA,Rider books,,9.78185E+12,299,04/18/2022 0:00,Sapna book house,154
Books,824,Positive Psychology,Snyder C. R.,RVUN22LB0228,School of Business,Psychology,2nd Ed,2012,150.1988 SNY,Sage,,9.78813E+12,845,04/25/2022 0:00,Sri Book World,616
Books,835,Psychological Testing,"Anastasi, Anne",RVUN22LB0239,School of Liberal Arts and Sciences,Psychology,7th ed,2016,150.287 ANN,Pearson,,9.78933E+12,669,04/25/2022 0:00,Sri book world,656
Books,606,Psychological Testing,"Miller, Leslie A.",RVUN22LB0010,School of Liberal Arts and Sciences,Psychology,1,2015,150.287 MIL,Sage,,9.78935E+12,595,04/17/2022 0:00,SK Publisher and Distributors,620
Books,825,Statistics For Psychology,"Aron, Arthur",RVUN22LB0229,School of Liberal Arts and Sciences,Psychology,,2019,150.727 ARO,Pearson,,9.78935E+12,645,04/25/2022 0:00,Sri Book World,
Books,699,Whither Indian Psychology,"Dalal, Ajit K.",RVUN22LB0103,School of Liberal Arts and Sciences,Psychology,1,2019,150.954 DAL,Rawat publishers & distributors,,978-8131610121,795,04/18/2022 0:00,Sapna book house,196
Books,123,Psychology,"Baron, Robert A.",RVUN21LB0123,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,151 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,133,Psychology,"Saundra,  Ciccarelli K.",RVUN21LB0133,School of Liberal Arts and Sciences,Psychology,5th Ed,2017,151 SAU,Pearson,Noida,978-9352861798,729,10/25/2021 0:00,Book Paradise,630
Books,124,Psychology,"Baron, Robert A.",RVUN21LB0124,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,152 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,789,Emotional Intelligence & Working With Emotional Intelligence: 2 In 1,"Goleman, Daniel",RVUN22LB0193,School of Liberal Arts and Sciences,Psychology,1,2013,152.4 GOL,Bloomsbury,,978-0747543848,799,04/18/2022 0:00,Sapna book house,383
Books,125,Psychology,"Baron, Robert A.",RVUN21LB0125,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,153 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,608,Cognitive Psychology,"Galotti, Kathleen",RVUN22LB0012,School of Liberal Arts and Sciences,Psychology,5,2015,153 GAL,Sage,,9.78935E+12,575,04/17/2022 0:00,SK Publisher and Distributors,500
Books,822,Cognitive Psychology,"Galotti, Kathleen",RVUN22LB0226,School of Liberal Arts and Sciences,Psychology,5th Ed,2015,153 GAL,Sage,,9.78935E+12,575,04/25/2022 0:00,Sri Book World,500
Books,594,How The Mind Works,"Pinker, Steven.",RVUN21LB0714,School of Liberal Arts and Sciences,Psychology,,2009,153 PIN,Penguin,,978-0141980782,524.25,03/29/2022 0:00,Book Paradise,660
Books,423,Creative Strategies: 10 Approaches To Solving Design Problems,"Beisert, Fridolin.",RVUN21LB0543,School of Design and Innovations,Imagination and imagery,1st,2016,153.3 BEI,Design Studio Press,,978-1624650260,1175.55,03/28/2023 0:00,Page - 3,131
Books,355,Releasing The Creative Spirit,"Wakefield, Dan.",RVUN21LB0355,School of Design and Innovations,Creativity,,2001,153.3 WAK,Skylight Paths Publishing,,978-1683362562,1701.19,01/17/2022 0:00,Page - 3,172
Books,309,Lateral Thinking,"De Bono, Edward.",RVUN21LB0309,School of Design and Innovations,Problem solving,,2016,153.35 DEB,Penguin,,9.78024E+12,374.25,01/17/2022 0:00,Page - 3,260
Books,394,Lateral Thinking,"De Bono, Edward.",RVUN21LB0394,School of Design and Innovations,Problem solving,,2016,153.35 DEB,Penguin,,978-0241257548,374.25,01/17/2022 0:00,Page - 3,260
Books,540,The Art Of Creative Thinking,"Judkins, Rod",RVUN21LB0660,School of Liberal Arts and Sciences,Intellectual processes,,2016,153.35 JUD,Hachette,,978-1444794496,499,03/29/2022 0:00,Book Paradise,281
Books,542,The Origins Of Creativity,"Wilson, Edward O.",RVUN21LB0662,School of Liberal Arts and Sciences,Intellectual processes,,2017,153.35 WIL,Penguin,,978-0141986340,499,03/29/2022 0:00,Book Paradise,256
Books,308,Six Thinking Hats,"De Bono, Edward.",RVUN21LB0308,School of Design and Innovations,Creative thinking,,2017,153.42 DEB,Penguin,,978-0241257531,374.25,01/17/2022 0:00,Page - 3,177
Books,777,The Art Of Thinking Clearly,"Dobelli, Rolf.",RVUN22LB0181,School of Liberal Arts and Sciences,Non fiction,1,2014,153.42 DOB,Hachette,,978-1444759549,350,04/18/2022 0:00,Sapna book house,336
Books,593,Thinking Fast & Slow,"Kahneman, Daniel.",RVUN21LB0713,School of Liberal Arts and Sciences,Non fiction,,2012,153.42 KAH,Penguin,,978-0141033570,650,03/29/2022 0:00,Book Paradise,499
Books,788,Blink The Power Of Thinking Without Thinking,"Gladwell, Malcolm",RVUN22LB0192,School of Liberal Arts and Sciences,Non fiction,1,2006,153.44 GLA,Penguin,,978-0316010665,599,04/17/2022 0:00,Sapna book house,296
Books,855,When The Scientific Secrets Of Perfect Timing,"Pink, Daniel H.",RVUN22LB0259,School of Liberal Arts and Sciences,Non fiction,,2018,153.753 PIN,Conongae,,9.78178E+12,699,04/25/2022 0:00,Sri Book World,258
Books,686,Noise : A Flaw In Human Judgment,"Kahneman, Daniel.",RVUN22LB0090,School of Business,Psychology,1,2021,153.83 KAH,Harvard,,9.78001E+12,1099,04/17/2022 0:00,SK Publisher and Distributors,454
Books,590,Finding Your Element,"Robinson, Ken.",RVUN21LB0710,School of Liberal Arts and Sciences,Self help,,2014,153.9 ROB,Penguin,,978-0241952023,499,03/29/2022 0:00,Book Paradise,258
Books,823,Psychological Testing,"Miller, Lesilie A.",RVUN22LB0227,School of Liberal Arts and Sciences,Psychology,,2015,153.94 MIL,Sage,,9.78935E+12,595,04/25/2022 0:00,Sri Book World,620
Books,126,Psychology,"Baron, Robert A.",RVUN21LB0126,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,154 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,754,Maximize Your Potential Through The Power Of Your Subconscious Mind For Health And Vitality,"Murphy, Joseph.",RVUN22LB0158,School of Liberal Arts and Sciences,Self help,1,2016,154.2 MUR,Manjul publishing house pvt ltd,,978-8183227599,195,04/18/2022 0:00,Sapna book house,249
Books,751,Maximize Your Potential Through The Power Of Your Subconscious Mind For Health And Vitality,"Murphy, Joseph.",RVUN22LB0155,School of Liberal Arts and Sciences,Self help,1,2016,154.2 MUR,Manjul publishing house pvt ltd,,9.78818E+12,195,04/18/2022 0:00,Sapna book house,248
Books,761,Miracles Of Your Mind,"Murphy, Joseph.",RVUN22LB0165,School of Liberal Arts and Sciences,Self help,1,2019,154.2 MUR,Manjul publishing house pvt ltd,,978-8183225106,150,04/18/2022 0:00,Sapna book house,84
Books,733,Power Of Your Subconscious Mind,"Murphy, Joseph.",RVUN22LB0137,School of Liberal Arts and Sciences,Self help,1,2017,154.2 MUR,Book mark,,9.78819E+12,150,04/18/2022 0:00,Sapna book house,
Books,127,Psychology,"Baron, Robert A.",RVUN21LB0127,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,155 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,832,Study Guide For Development Across The Life Span,"Feldman, Robert S.",RVUN22LB0236,School of Liberal Arts and Sciences,Psychology,,2018,155 FEL,Pearson,,978-0136016113,749,04/25/2022 0:00,Sri book world,312
Books,623,Lifespan Development,"Santrock, John.",RVUN22LB0027,School of Liberal Arts and Sciences,Psychology,17,2021,155 SAN,Tmh,,9.78939E+12,895,03/17/2022 0:00,SK Publisher and Distributors,672
Books,842,Perspectives On Personality,"Carver, Charles S.",RVUN22LB0246,School of Liberal Arts and Sciences,Psychology,,2019,155.2 CAR,Pearson,,9.78935E+12,459,04/25/2022 0:00,Sri book world,320
Books,697,Theories Of Personality,"Schultz, Duane.",RVUN22LB0101,School of Liberal Arts and Sciences,Psychology,1,2018,155.2 SCH,Cengage Learning,,978-1111835200,599,04/18/2022 0:00,Sapna book house,504
Books,617,Psychology & Gender,"Natu, Sadhana.",RVUN22LB0021,School of Liberal Arts and Sciences,Psychology,1,2021,155.33 NAT,Sage,,9.78939E+12,550,04/17/2022 0:00,SK Publisher and Distributors,288
Books,622,Understanding Childhood & Adolescence,"Ranganathan, Namita.",RVUN22LB0026,School of Liberal Arts and Sciences,Psychology,1,2020,155.4 RAN,Sage,,9.78935E+12,695,03/17/2022 0:00,SK Publisher and Distributors,405
Books,586,The Psychology Of Stupidity,"Francois, Jean.",RVUN21LB0706,School of Liberal Arts and Sciences,Psychology,,2020,155.7 FRA,Macmillan,,978-1529053838,599,03/29/2022 0:00,Book Paradise,368
Books,603,Environmental Psychology,Das B.K.,RVUN22LB0007,School of Liberal Arts and Sciences,Psychology,1,2020,155.9 DAS,Omega,,9.78939E+12,1195,04/17/2022 0:00,SK Publisher and Distributors,265
Books,128,Psychology,"Baron, Robert A.",RVUN21LB0128,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,156 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,129,Psychology,"Baron, Robert A.",RVUN21LB0129,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,157 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,827,Psychological Skills Training For Human Wellness,Agya Jit Singh,RVUN22LB0231,School of Liberal Arts and Sciences,Psychology,1st Ed,2021,158 AGY,Sage,,9.78935E+12,1295,04/25/2022 0:00,Sri Book World,328
Books,130,Psychology,"Baron, Robert A.",RVUN21LB0130,School of Liberal Arts and Sciences,Psychology,5th Ed,2016,158 BAR,Pearson,Chennai,978-9332558540,749,10/25/2021 0:00,Book Paradise,646
Books,556,The 7 Habits Of Highly Effective People,"Covey, Stephen R.",RVUN21LB0676,School of Liberal Arts and Sciences,Applied psychology,,2013,158 COV,Simon,,978-1471131820,599,03/29/2022 0:00,,391
Books,557,The 7 Habits Of Highly Effective People,"Covey, Stephen R.",RVUN21LB0677,School of Liberal Arts and Sciences,Applied psychology,,2013,158 COV,Simon,,978-1471131820,599,03/29/2022 0:00,Book Paradise,391
Books,558,The 8Th Habit,"Covey, Stephen R.",RVUN21LB0678,School of Liberal Arts and Sciences,Applied psychology,,2007,158 COV,Simon,,978-1847391469,599,03/29/2022 0:00,Book Paradise,414
Books,559,The 8Th Habit,"Covey, Stephen R.",RVUN21LB0679,School of Liberal Arts and Sciences,Applied psychology,,2007,158 COV,Simon,,978-1847391469,599,03/29/2022 0:00,Book Paradise,414
Books,785,Art Of The Good Life,"Dobelli, Rolf.",RVUN22LB0189,School of Liberal Arts and Sciences,Non fiction,1,2021,158 DOB,Sceptre,,978-1473667488,499,04/18/2022 0:00,Sapna book house,272
Books,849,Shuttlers Flick,"Gopichand, Pullela",RVUN22LB0253,School of Liberal Arts and Sciences,Biography,,2021,158 GOP,Other,,9.7882E+12,599,04/25/2022 0:00,Sri book world,359
Books,800,The Greatest Works Of George Orwell,"Orwell, George.",RVUN22LB0204,School of Liberal Arts and Sciences,Biography,,2019,158 ORW,Harper,,9.78939E+12,299,04/25/2022 0:00,Sri Book World,608
Books,853,The Origine Story Of Indias States,"Srinivasan, Venkataraghavan Subha",RVUN22LB0257,School of Liberal Arts and Sciences,Non fiction,,2021,158 SRI,Penguin,,9.78014E+12,399,05/25/2022 0:00,Sri book world,304
Books,850,The New Technology Of Achievement,"Andreas,  Steve.",RVUN22LB0254,School of Liberal Arts and Sciences,Non fiction,,1996,158.1 AND,Nesma Books,,9.78186E+12,1050,04/25/2022 0:00,Sri book world,352
Books,773,The Power Of Habit : Why We Do What We Do & How To Change,"Duhigg, Charles.",RVUN22LB0177,Other,Self help,1,2012,158.1 DUH,Random House,,9.78185E+12,599,04/18/2022 0:00,Sapna book house,371
Books,737,Mindset : Changing The Way You Think To Fulfil Your Potential,"Dweck, Carol S.",RVUN22LB0141,School of Liberal Arts and Sciences,Self help,1,2017,158.1 DWE,Constable & robinson,,978-1780332000,399,04/18/2022 0:00,Sapna book house,277
Books,749,Life Changiing Secrets From The 3 Masters Of Success,"Hill, Napoleon.",RVUN22LB0153,School of Liberal Arts and Sciences,Self help,1,2021,158.1 HIL,Manjul publishing house pvt ltd,,978-1722502867,299,04/18/2022 0:00,Sapna book house,464
Books,730,Subtle Art Of Not Giving Fuck,"Manson, Mark.",RVUN22LB0134,School of Liberal Arts and Sciences,Self help,1,2016,158.1 MAN,Harper,,978-0062641540,499,04/18/2022 0:00,Sapna book house,212
Books,599,The Subtle Art Of Not Giving A Fuck,"Manson, Mark.",RVUN22LB0003,School of Liberal Arts and Sciences,Self help,1,2020,158.1 MAN,Harvard,,9.78006E+12,599,04/17/2022 0:00,,224
Books,756,Riches Are Your Right,"Murphy, Joseph.",RVUN22LB0160,School of Liberal Arts and Sciences,Self help,1,2019,158.1 MUR,Finger print,,978-1607962038,99,07/18/2022 0:00,Sapna book house,66
Books,750,How To Unleash The Power Of Your Subconscious Mind,"Murphy, Joseph.",RVUN22LB0154,School of Liberal Arts and Sciences,Self help,1,2017,158.1 MUR,Harper,,978-9352770366,299,04/18/2022 0:00,Sapna book house,296
Books,755,Maximize Your Potential Through The Power Of Your Subconscious Mind To Create Wealth And Success,"Murphy, Joseph.",RVUN22LB0159,School of Liberal Arts and Sciences,Self help,1,2016,158.1 MUR,Manjul publishing house pvt ltd,,9.78818E+12,195,04/18/2022 0:00,Sapna book house,225
Books,757,How To Attract Money,"Murphy, Joseph.",RVUN22LB0161,School of Liberal Arts and Sciences,Self help,1,2018,158.1 MUR,Manjul publishing house pvt ltd,,978-1578989706,125,04/18/2022 0:00,Sapna book house,74
Books,564,The Greatness Guide,"Sharma, Robin.",RVUN21LB0684,School of Liberal Arts and Sciences,Personal improvement and analysis,1st Ed,2008,158.1 SHA,Jaico,,978-8179928158,350,03/29/2022 0:00,Book Paradise,221
Books,565,The Greatness Guide,"Sharma, Robin.",RVUN21LB0685,School of Liberal Arts and Sciences,Personal improvement and analysis,1st Ed,2008,158.1 SHA,Jaico,,978-8179928158,350,03/29/2022 0:00,Book Paradise,221
Books,786,Catalyst,"Venkatesan, Chandramouli",RVUN22LB0190,School of Liberal Arts and Sciences,Self help,1,2018,158.1 VEN,Portfolio,,9.78014E+12,299,04/18/2022 0:00,Sapna book house,189
Books,791,Mindfulness,"Dabholkar, Vinay",RVUN22LB0195,School of Liberal Arts and Sciences,Self help,1,2019,158.13 DAB,Harper,,978-9353573454,399.25,04/18/2022 0:00,Sapna book house,191
Books,574,Burn After Writing,"Jones, Sharon.",RVUN21LB0694,School of Liberal Arts and Sciences,Applied psychology,,2021,158.16 JON,Tarcher,,978-1529148398,499,03/29/2022 0:00,Book Paradise,147
Books,575,Burn After Writing,"Jones, Sharon.",RVUN21LB0695,School of Liberal Arts and Sciences,Applied psychology,,2021,158.16 JON,Tarcher,,978-1529148398,499,03/29/2022 0:00,Book Paradise,147
Books,647,1000+ Little Habits,"Chernoff,  Marc .",RVUN22LB0051,School of Business,Self help,1,2020,158.2 CHE,Tarcher,,9.78059E+12,599,03/17/2022 0:00,SK Publisher and Distributors,352
Books,821,Basic Counselling Skills,"Nelson, Richard",RVUN22LB0225,School of Liberal Arts and Sciences,Psychology,,2021,158.3 NEL,Sage,,9.78939E+12,695,04/25/2022 0:00,Sri Book World,240
Books,868,The Power Of Ethics,"Liautaud, Susan.",RVUN22LB0272,School of Liberal Arts and Sciences,Non fiction,,2021,170.44 LIA,Simon,,9.78147E+12,699,04/25/2022 0:00,Sri Book World,304
